EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,participant,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,230.23686259996612,None,LMR,images/OBJ_68.png,images/OBJ_200.png,images/OBJ_4.png,231.81046659999993,233.32210150000174,233.80526569997892,235.30430399999022,235.80418149998877,None,231.82278445997508,None,233.80479080995428,None,235.80421990997274,None,237.3042548999656,None,same,MLR,238.87879210000392,240.38651909999317,240.8698608999839,242.3689519999898,242.86934169998858,None,238.88727265998023,None,240.8694540099532,None,242.86887380995904,None,244.36886270000832,None,0,['leftCL'],245.36810659995535,None,245.36810659995535,None,245.36810659995535,None,245.36810659995535,None,245.36810659995535,None,-0.1337890625,-0.3369140625,1,0,0,0.2670751999830827,leftCL,0.01638740993803367,None,245.63520230996073,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
11,0,11,0,,,,,,,246.28375589998905,None,MRL,images/OBJ_93.png,images/OBJ_49.png,images/OBJ_85.png,247.85715920000803,249.36691509996308,249.8500817999593,251.34966030000942,251.8495455000084,None,247.8680992599693,None,249.85014760997728,None,251.849572409963,None,253.34911999996984,None,same,MLR,254.92229119996773,256.43153110001003,256.91475699999137,258.4147376999608,258.91416819998994,None,254.9326282599941,None,256.9147934099601,None,258.91414110999904,None,260.4136942999903,None,0,['leftCL'],261.4133918999578,None,261.4133918999578,None,261.4133918999578,None,261.4133918999578,None,261.4133918999578,None,-0.130859375,-0.3447265625,1,0,0,0.38329530000919476,leftCL,0.016450610011816025,None,261.7966942100029,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
12,0,12,0,,,,,,,262.44537909998326,None,RML,images/OBJ_59.png,images/OBJ_47.png,images/OBJ_110.png,264.01262279995717,265.5122597999871,266.0120947000105,267.51162499998463,268.0115645999904,None,264.01290045000496,None,266.01263010999537,None,268.01163041000837,None,269.51159159996314,None,same,MLR,271.0788665,272.59353569999803,273.0767091999878,274.57676889997674,275.0766235999763,None,271.0778791499615,None,273.07674120998126,None,275.07654150997405,None,276.57610859995475,None,0,['leftCL'],277.5758862000075,None,277.5758862000075,None,277.5758862000075,None,277.5758862000075,None,277.5758862000075,None,-0.205078125,-0.3447265625,1,0,0,0.2665996999712661,leftCL,0.016403109941165894,None,277.8420274099626,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
13,0,13,0,,,,,,,278.49542329995893,None,RML,images/OBJ_164.png,images/OBJ_21.png,images/OBJ_83.png,280.08579899999313,281.59142259997316,282.0741009999765,283.573631999956,284.073509299953,None,280.091562059999,None,282.0746327099914,None,284.07405570996343,None,285.57310949999373,None,same,MLR,287.1486980000045,288.6560066000093,289.13923649996286,290.63878899998963,291.1386082000099,None,287.1561586599564,None,289.13925211000605,None,291.13865470999735,None,292.63819049997255,None,0,['leftCL'],293.63790749997133,None,293.63790749997133,None,293.63790749997133,None,293.63790749997133,None,293.63790749997133,None,-0.1279296875,-0.3740234375,1,0,0,0.2832080999505706,leftCL,0.01634580997051671,None,293.92068840996944,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
14,0,14,0,,,,,,,294.5665136000025,None,LMR,images/OBJ_128.png,images/OBJ_2.png,images/OBJ_84.png,296.14620149997063,297.65324969997164,298.1360932000098,299.6361269999761,300.13592410000274,None,296.15356875996804,None,298.13660741000785,None,300.1360303099791,None,301.6350778999622,None,diff,RML,303.210808600008,304.7179788000067,305.2011811999837,306.70074120000936,307.2001447000075,None,303.2181088599609,None,305.2007528099639,None,307.20016610997845,None,308.7001981000067,None,1,['rightCL'],309.6998724999721,None,309.6998724999721,None,309.6998724999721,None,309.6998724999721,None,309.6998724999721,None,0.1611328125,-0.3671875,1,0,0,0.2328552000108175,rightCL,0.016404509951826185,None,309.9327297099808,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
15,0,15,0,,,,,,,310.5859904999961,None,LMR,images/OBJ_64.png,images/OBJ_46.png,images/OBJ_205.png,312.1750360999722,313.6815872999723,314.16526439995505,315.66438709996874,316.16420929995365,None,312.1822807599674,None,314.1647689100064,None,316.1647109099722,None,317.66426339995814,None,same,RML,319.23732439999003,320.74665169999935,321.2293952999753,322.7294227000093,323.2288224999793,None,319.24679245997686,None,321.22994080997887,None,323.2288518099522,None,324.72836619999725,None,0,['leftCL'],325.7281229000073,None,325.7281229000073,None,325.7281229000073,None,325.7281229000073,None,325.7281229000073,None,-0.16796875,-0.2919921875,1,0,0,0.29992669995408505,leftCL,0.016352810023818165,None,326.0280785099894,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
16,0,16,0,,,,,,,326.6761977999704,None,LMR,images/OBJ_119.png,images/OBJ_190.png,images/OBJ_36.png,328.24720360001083,329.7607590999687,330.2438763999962,331.7434754999704,332.24286419997225,None,328.2442154499877,None,330.24347920998116,None,332.24285720995977,None,333.74290819995804,None,same,RML,335.3130649999948,336.8248528999975,337.30804099998204,338.8076188999694,339.3074542999966,None,335.32545566000044,None,337.3080936099577,None,339.30751941000926,None,340.80704559996957,None,0,['leftCL'],341.8067366000032,None,341.8067366000032,None,341.8067366000032,None,341.8067366000032,None,341.8067366000032,None,-0.134765625,-0.29296875,1,0,0,0.2832920999499038,leftCL,0.016406210022978485,None,342.0900384100096,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
17,0,17,0,,,,,,,342.737449200009,None,MLR,images/OBJ_129.png,images/OBJ_182.png,images/OBJ_61.png,344.3154748000088,345.82274619996315,346.3054031999782,347.80551039997954,348.3053661999875,None,344.32291155995335,None,346.30541880996316,None,348.3048648099939,None,349.8049065999803,None,same,RML,351.39621829998214,352.9035074999556,353.38722569996025,354.8862843000097,355.38661719998345,None,351.4041352599743,None,353.38727830999414,None,355.38666490998,None,356.88570290000644,None,0,['leftCL'],357.8854243999813,None,357.8854243999813,None,357.8854243999813,None,357.8854243999813,None,357.8854243999813,None,-0.134765625,-0.29296875,1,0,0,0.28333679999923334,leftCL,0.016401909932028502,None,358.168735209998,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
18,0,18,0,,,,,,,358.8186131999828,None,MLR,images/OBJ_7.png,images/OBJ_125.png,images/OBJ_40.png,360.39278940000804,361.9012847999693,362.38445759995375,363.88363950001076,364.38351139996666,None,360.4021165599697,None,362.38413110995316,None,364.38389341000584,None,365.8830961000058,None,same,RML,367.4588471999741,368.96590000001015,369.4487191999797,370.9487552999635,371.4481459999806,None,367.46608475997346,None,369.44876870998996,None,371.4485720100056,None,372.9477033999865,None,1,['rightCL'],373.9474002000061,None,373.9474002000061,None,373.9474002000061,None,373.9474002000061,None,373.9474002000061,None,0.158203125,-0.3017578125,1,0,0,0.3331890000263229,rightCL,0.01641141006257385,None,374.28072290998534,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
19,0,19,0,,,,,,,374.9250463999924,None,MLR,images/OBJ_150.png,images/OBJ_32.png,images/OBJ_100.png,376.50333609996596,378.01304609997896,378.49659970001085,379.99568839999847,380.4955014999723,None,376.51405835995683,None,378.496639710007,None,380.4955499099742,None,381.99556889996165,None,same,RML,383.5699655999779,385.07750179996947,385.5606974999537,387.06024580000667,387.56014779995894,None,383.57861595996656,None,385.56072580997716,None,387.56020810999325,None,389.0601512999856,None,0,['leftCL'],390.05951180000557,None,390.05951180000557,None,390.05951180000557,None,390.05951180000557,None,390.05951180000557,None,-0.296875,-0.33984375,1,0,0,0.4335008999914862,leftCL,0.016250410059001297,None,390.49318760997267,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
20,0,20,0,,,,,,,391.13790539995534,None,LMR,images/OBJ_65.png,images/OBJ_175.png,images/OBJ_74.png,392.70898219995433,394.2081661999691,394.7080084999907,396.20763580000494,396.7074479999719,None,392.7093224499549,None,394.70856361000915,None,396.7080033099919,None,398.20703059999505,None,same,RML,399.77402489999076,401.2728027999983,401.7726633999846,403.27224630001,403.772035699978,None,399.77337684997474,None,401.7726935099636,None,403.77209250998567,None,405.2716206999612,None,0,['leftCL'],406.27186429995345,None,406.27186429995345,None,406.27186429995345,None,406.27186429995345,None,406.27186429995345,None,-0.1806640625,-0.35546875,1,0,0,0.2334580000024289,leftCL,0.01639930997043848,None,406.50514811000903,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
21,0,21,0,,,,,,,407.14866710000206,None,RML,images/OBJ_161.png,images/OBJ_102.png,images/OBJ_155.png,408.73142460000236,410.2373787999968,410.7200616999762,412.21961039997404,412.7194843000034,None,408.73804155999096,None,410.72009091000655,None,412.7195215099782,None,414.2190989999799,None,diff,LMR,415.79531009995844,417.3019835999585,417.7851610999787,419.28474450000795,419.7841184999561,None,415.80210195999825,None,417.7852005099703,None,419.78414320995216,None,421.2836728999973,None,1,['rightCL'],422.28385129995877,None,422.28385129995877,None,422.28385129995877,None,422.28385129995877,None,422.28385129995877,None,0.1953125,-0.3359375,1,0,0,0.23286910000024363,rightCL,0.01639791001798585,None,422.5167213100067,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
22,0,22,0,,,,,,,423.15680539997993,None,RML,images/OBJ_30.png,images/OBJ_151.png,images/OBJ_173.png,424.7407768999692,426.2489177999669,426.7320684999577,428.2316472000093,428.7319989000098,None,424.7495963599649,None,426.73212060998776,None,428.7319932100072,None,430.2314563000109,None,same,LMR,431.8061670999741,433.31348429998616,433.7971626999788,435.29624930000864,435.7961453999742,None,431.8145524599822,None,433.79713051000726,None,435.7961819100019,None,437.2957155999611,None,0,['leftCL'],438.2958742000046,None,438.2958742000046,None,438.2958742000046,None,438.2958742000046,None,438.2958742000046,None,-0.2373046875,-0.27734375,1,0,0,0.2665784999844618,leftCL,0.0163847099756822,None,438.5624671099649,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
23,0,23,0,,,,,,,439.2116880999529,None,MRL,images/OBJ_139.png,images/OBJ_188.png,images/OBJ_103.png,440.77984339999966,442.2942723999731,442.7778951000073,444.2769659999758,444.777323599963,None,440.77837934999843,None,442.77793460999965,None,444.7768762099731,None,446.27645279996796,None,same,LMR,447.8453642000095,449.35932469996624,449.84243369998876,451.3420777999563,451.8419360999833,None,447.84278974999324,None,449.84212930998183,None,451.8418748099648,None,453.3410304999561,None,0,['leftCL'],454.3407355999807,None,454.3407355999807,None,454.3407355999807,None,454.3407355999807,None,454.3407355999807,None,-0.2021484375,-0.2666015625,1,0,0,0.452963899995666,leftCL,0.016400710039306432,None,454.7906563099532,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
24,0,24,0,,,,,,,455.44208369997796,None,LMR,images/OBJ_55.png,images/OBJ_109.png,images/OBJ_104.png,457.0246676999959,458.53999789996305,459.02268239995465,460.52223329996923,461.0221363999881,None,457.0239852499508,None,459.0227102099743,None,461.02212571000564,None,462.52217369998107,None,same,LMR,464.0885800999822,465.6044614999555,466.0873454999528,467.58736710000085,468.0867299999809,None,464.08805165000376,None,466.0873732099717,None,468.0867378099647,None,469.5863105999888,None,0,['leftCL'],470.5864889000077,None,470.5864889000077,None,470.5864889000077,None,470.5864889000077,None,470.5864889000077,None,-0.1357421875,-0.2744140625,1,0,0,0.2666955999447964,leftCL,0.016389510070439428,None,470.85265970995533,None,,,,,,,,,,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,471.35150419996353,None,None,None,q,424.94092540000565,None,None,,oe1002,2023-10-10_11h02.58.156,exp,2021.1.4,59.99725213286704,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,,,,,,
