EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,participant,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,MLR,images/OBJ_39.png,images/OBJ_45.png,images/OBJ_78.png,156.1909297080001,157.69097679100014,158.18398445800085,159.69108825000148,160.18526129100064,None,156.19792562500223,None,158.18450314550063,None,160.18486406250048,None,161.69218925000132,None,same,None,11,163.33599208300075,164.83998229100143,165.33343250000144,166.84032391600158,167.33345100000042,None,163.33352802050211,None,165.33348272850088,None,167.3342448535015,None,168.8410723750003,None,1,['leftCL'],169.84135491600136,None,169.84135491600136,None,169.84135491600136,None,169.84135491600136,None,169.84135491600136,None,-0.1388888888888889,-0.3333333333333333,1,0,0,6.270540583998809,leftCL,0.01289593650108145,None,176.11093660350087,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
11,0,11,0,,,LRM,images/OBJ_77.png,images/OBJ_181.png,images/OBJ_152.png,176.74759437500143,178.25829379100105,178.73841891600023,180.2454399160015,180.73913062500105,None,176.7518071455026,None,178.73855364550144,None,180.73910543750134,None,182.2463880410014,None,diff,LMR,12,183.87013583299995,185.3813411250012,185.8615561250008,187.36785929100006,187.86176829100077,None,183.87413070800176,None,185.86172668750004,None,187.86374822850047,None,189.36867266599984,None,0,['leftCL'],190.3690704159999,None,190.3690704159999,None,190.3690704159999,None,190.3690704159999,None,190.3690704159999,None,-0.15092592592592594,-0.33240740740740743,1,0,0,27.0780520419994,leftCL,0.012234270499902777,None,217.44591802050053,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
12,0,12,0,,,LRM,images/OBJ_82.png,images/OBJ_50.png,images/OBJ_49.png,218.085683583,219.5935584580002,220.08716637500038,221.59442775000025,222.0882655000005,None,218.0875439375024,None,220.08722347850124,None,222.08819906250136,None,223.5947237500004,None,same,LMR,13,225.2232962500002,226.73000816600143,227.22310133300016,228.73034316600024,229.22396045800087,None,225.2233034580022,None,227.22293593750072,None,229.2238704785006,None,230.7287326250007,None,1,['leftCL'],231.73124441600157,None,231.73124441600157,None,231.73124441600157,None,231.73124441600157,None,231.73124441600157,None,-0.23333333333333334,-0.32407407407407407,1,0,0,0.37255454099977214,leftCL,0.01224047950017848,None,232.1047280625,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
13,0,13,0,,,RML,images/OBJ_120.png,images/OBJ_33.png,images/OBJ_140.png,232.77528112500113,234.27853508299995,234.772555208001,236.27984629100138,236.77383966600064,None,232.77302802050107,None,234.77274468750073,None,236.7732843955011,None,238.28053812500002,None,diff,LMR,14,239.93042208299994,241.44156683300025,241.9221320000015,243.4290428330005,243.92297175000022,None,239.9352528330022,None,241.92174747850112,None,243.92267702050157,None,245.42997800000012,None,1,['rightCL'],246.42988858300123,None,246.42988858300123,None,246.42988858300123,None,246.42988858300123,None,246.42988858300123,None,0.2490740740740741,-0.34444444444444444,1,0,0,0.558817375000217,rightCL,0.012197354501040536,None,246.99017172850034,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
14,0,14,0,,,RML,images/OBJ_138.png,images/OBJ_94.png,images/OBJ_204.png,247.6494418330003,249.15121945800092,249.64517695799987,251.15178766600002,251.6454345410002,None,247.65821477050267,None,249.64520560350064,None,251.6459998125003,None,253.15121,None,same,LMR,15,254.79452912499983,256.3009571250004,256.7942302500014,258.30122720800136,258.79478395800106,None,254.79452539550147,None,256.79427597850116,None,258.7953745205006,None,260.30217045800055,None,0,['rightCL'],261.3021217500009,None,261.3021217500009,None,261.3021217500009,None,261.3021217500009,None,261.3021217500009,None,0.2490740740740741,-0.34444444444444444,1,0,0,0.3458554160006315,rightCL,0.01227102049961104,None,261.64854118750117,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
15,0,15,0,,,LMR,images/OBJ_199.png,images/OBJ_111.png,images/OBJ_184.png,262.31079300000056,263.8104387500007,264.3037495000008,265.8106433330013,266.3042273330011,None,262.31732081250226,None,264.30370372850047,None,266.30477622850157,None,267.81142304100104,None,same,LMR,16,269.4573410000012,270.959786333,271.45297279100123,272.9605104580005,273.45370066600117,None,269.46666683300134,None,271.45294914550067,None,273.45361556250026,None,274.95903791599994,None,1,['leftCL'],275.96088066599987,None,275.96088066599987,None,275.96088066599987,None,275.96088066599987,None,275.96088066599987,None,-0.1537037037037037,-0.3527777777777778,1,0,0,0.9054543330003071,leftCL,0.012171437501820037,None,276.8678557285013,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
16,0,16,0,,,RML,images/OBJ_67.png,images/OBJ_71.png,images/OBJ_25.png,277.5014452080013,279.0024484580008,279.49596233300144,281.0030463330004,281.49695608300135,None,277.5090179785013,None,279.4963713955014,None,281.49682781250084,None,283.00394841600064,None,diff,LMR,17,284.6267157910006,286.13852187500015,286.61877212500076,288.1257354999998,288.61924641600126,None,284.63166154100145,None,286.6187701455012,None,288.61924289550115,None,290.12474358300096,None,0,['leftCL'],291.1268740000014,None,291.1268740000014,None,291.1268740000014,None,291.1268740000014,None,291.1268740000014,None,-0.15185185185185185,-0.3509259259259259,1,0,0,0.2795506669990573,leftCL,0.012097771501430543,None,291.4068332285016,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
17,0,17,0,,,RLM,images/OBJ_173.png,images/OBJ_107.png,images/OBJ_168.png,292.0720360410014,293.58099404099994,294.0744835000005,295.5815983749999,296.07523245800076,None,292.0750206035023,None,294.0749431035012,None,296.0756567705004,None,297.5805977910004,None,same,LMR,18,299.2222016659998,300.73063795800044,301.22386166600154,302.73134262500025,303.22478270800093,None,299.2238526455014,None,301.22437114550047,None,303.22531693750096,None,304.7295299160014,None,1,['leftCL'],305.7300481660004,None,305.7300481660004,None,305.7300481660004,None,305.7300481660004,None,305.7300481660004,None,-0.15185185185185185,-0.3509259259259259,1,0,0,0.23922866699831502,leftCL,0.012247145499713952,None,305.97205377050085,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
18,0,18,0,,,LRM,images/OBJ_170.png,images/OBJ_48.png,images/OBJ_187.png,306.6114140000009,308.11970895800005,308.6137292910007,310.1205682910004,310.613979791,None,306.61358502050206,None,308.6136336874999,None,310.6146588955009,None,312.120968833,None,same,LMR,19,313.75246729100036,315.2558079999999,315.73609954099993,317.243761791,317.7369920410001,None,313.76274552050126,None,315.7360863125006,None,317.73692052050063,None,319.24184366600093,None,1,['leftCL'],320.24207775000104,None,320.24207775000104,None,320.24207775000104,None,320.24207775000104,None,320.24207775000104,None,-0.15185185185185185,-0.3509259259259259,1,0,0,0.31927504199848045,leftCL,0.012240186501003336,None,320.56411902050166,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
19,0,19,0,,,MRL,images/OBJ_2.png,images/OBJ_141.png,images/OBJ_86.png,321.21970345800037,322.72572266600037,323.2188246250007,324.72645191599986,325.2196825830015,None,321.21925608300114,None,323.2194961035013,None,325.2201281035006,None,326.7249742080003,None,same,LMR,20,328.36867600000005,329.87467695800115,330.36818870800016,331.8751990410001,332.3692796659998,None,328.3680625625013,None,330.36810881250057,None,332.36920868750093,None,333.87613800000145,None,1,['leftCL'],334.87607025000034,None,334.87607025000034,None,334.87607025000034,None,334.87607025000034,None,334.87607025000034,None,-0.10555555555555556,-0.32685185185185184,1,0,0,1.1869175840001844,leftCL,0.012085062500773347,None,336.0632150205012,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
20,0,20,0,,,RML,images/OBJ_155.png,images/OBJ_139.png,images/OBJ_74.png,336.72171937500025,338.22426670800087,338.7179460410007,340.225421000001,340.70529766600157,None,336.7313458955028,None,338.71782918749994,None,340.705629937501,None,342.2125318750004,None,same,LMR,21,343.85167700000056,345.36028050000095,345.8539294580005,347.3611785000012,347.8545755000014,None,343.853785353501,None,345.85407235349993,None,347.85461577050154,None,349.3593337080001,None,1,['leftCL'],350.36187604100087,None,350.36187604100087,None,350.36187604100087,None,350.36187604100087,None,350.36187604100087,None,-0.1787037037037037,-0.23148148148148148,1,0,0,0.42619870800081117,leftCL,0.012262187501619337,None,350.78876910350044,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
21,0,21,0,,,RML,images/OBJ_167.png,images/OBJ_29.png,images/OBJ_194.png,351.45459833300083,352.9635817080016,353.45693358300014,354.9638536250004,355.45742479100045,None,351.4572816875021,None,353.4570070625006,None,355.4576551455004,None,356.9647108750014,None,diff,MRL,22,358.6124245830015,360.113004750001,360.60652825000034,362.1133115829998,362.606927750001,None,358.619483750001,None,360.6059206875008,None,362.60726160350094,None,364.1121871250016,None,1,['rightCL'],365.1140489160007,None,365.1140489160007,None,365.1140489160007,None,365.1140489160007,None,365.1140489160007,None,0.2212962962962963,-0.32407407407407407,1,0,0,0.2547044580005604,rightCL,0.01298497850257263,None,365.36764202050034,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
22,0,22,0,,,LMR,images/OBJ_19.png,images/OBJ_51.png,images/OBJ_101.png,366.0307447080013,367.5419220830008,368.0223180410012,369.52977550000105,370.0228917910008,None,366.0359940205013,None,368.02222989550063,None,370.02281422850064,None,371.5302147910006,None,same,MRL,23,373.1697976659998,374.6778056660005,375.1717015410013,376.67842754100093,377.1725725410015,None,373.1712717705024,None,375.17162214550007,None,377.1722100204999,None,378.67728516600073,None,0,['rightCL'],379.67939908300104,None,379.67939908300104,None,379.67939908300104,None,379.67939908300104,None,379.67939908300104,None,0.16203703703703703,-0.27314814814814814,1,0,0,0.29320054199888546,rightCL,0.012244895500771236,None,379.97313622850123,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
23,0,23,0,,,RML,images/OBJ_197.png,images/OBJ_21.png,images/OBJ_119.png,380.64356654100084,382.1472250000006,382.6407603330008,384.1486245830001,384.64198775000114,None,380.6412971455025,None,382.64080527050027,None,384.6416410624999,None,386.14878820800004,None,same,MRL,24,387.79468412500137,389.296716416,389.7902253330012,391.29731258300126,391.79090183300104,None,387.80381279100254,None,389.79007427050163,None,391.79075852050045,None,393.2961871660009,None,1,['leftCL'],394.2983672500013,None,394.2983672500013,None,394.2983672500013,None,394.2983672500013,None,394.2983672500013,None,-0.27314814814814814,-0.26944444444444443,1,0,0,0.3325927090008918,leftCL,0.012174145502285683,None,394.6317561455009,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
24,0,24,0,,,RLM,images/OBJ_123.png,images/OBJ_5.png,images/OBJ_41.png,395.29684025000097,396.8062732080016,397.29986704100156,398.8072959580004,399.2869047080003,None,395.3003097285014,None,397.29968518750064,None,399.2871687285016,None,400.7944327910009,None,diff,LMR,25,402.4351385000009,403.94210495800144,404.435450500001,405.9432903329998,406.43686225000056,None,402.43584693750125,None,404.43549239550083,None,406.4363683125004,None,407.94366550000086,None,0,['leftCL'],408.94364216600115,None,408.94364216600115,None,408.94364216600115,None,408.94364216600115,None,408.94364216600115,None,-0.23425925925925925,-0.2388888888888889,1,0,0,1.8534031250001135,leftCL,0.01222206250167801,None,410.79778585350067,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
